Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:27:25:07.607,61,0.0000000000,0.0000000000,0.1400820166,0.0000000000,0.0408621915,0.1540977061,0.2676540911,0.0000000000,0.0000000000,0.0000000000,0.0207265187,0.0411370061,0.1541569829,0.2677245140,0.0108767515,0.0153890941,0.0000000000,0.0362691320,0.0448292643,0.0158857834,0.0511260368,0.0132041182,0.0000000000,0.0275331233,0.0442363508,0.0000000000,0.0000000000,0.0174317062,0.0167601090,0.0449955016,0.0413501970,0.0323622338,0.0156995505,0.0684682205,0.0433146618,0.0228197966,0.0231391210,0.0402675420,0.0367054455,0.0141012035,0.0139782932,0.0000000000,0.0000000000,0.1645057201,0.1115002260,0.1117928997,0.0109449886,0.0695984587,0.0743083507,0.0554731227,0.0547371432,0.0000000196,-0.0007600785,-0.0988671929,-0.0089587783,0.0126590710,-0.0179508440,-0.0002272594,0.0855576023,-0.0178949554,-0.0015293446
23:27:25:08.606,61,0.0000000000,0.0000000000,0.1513454616,0.0000000000,0.0408991203,0.1538046151,0.2663992047,0.0000000000,0.0000000000,0.0000000000,0.0323035754,0.0411943011,0.1538642049,0.2664722204,0.0108966082,0.0154971220,0.0000000000,0.0362331197,0.0448038168,0.0159399845,0.0511985980,0.0132354246,0.0000000000,0.0278917179,0.0445427597,0.0000000000,0.0000000000,0.0174938366,0.0168212149,0.0451209769,0.0414503403,0.0324497670,0.0157219376,0.0685646459,0.0433428176,0.0228733905,0.0231882185,0.0403898582,0.0368019305,0.0141182858,0.0139902281,0.0000000000,0.0000000000,0.1665781140,0.1121144220,0.1124050766,0.0109621640,0.0695624053,0.0742237419,0.0553548411,0.0545964278,0.0000000568,-0.0006231950,-0.0980578214,-0.0092321923,0.0197299384,-0.0179778989,-0.0003547181,0.0924369395,-0.0179221295,-0.0016544840
23:27:25:09.606,61,0.0000000000,0.0000000000,0.1950344890,0.0000000000,0.0485099591,0.1569691449,0.2660848498,0.0000000000,0.0000000000,0.0000000000,0.0769210085,0.0489289127,0.1570117623,0.2661571801,0.0109324558,0.0153972795,0.0000000000,0.0362745859,0.0448932387,0.0160207190,0.0513298437,0.0132115344,0.0000000000,0.0280373413,0.0444757529,0.0000000000,0.0000000000,0.0174854230,0.0168138184,0.0452212319,0.0415614769,0.0325446352,0.0157113727,0.0686988607,0.0434199758,0.0228870921,0.0231976584,0.0405357219,0.0369238332,0.0141811417,0.0140377954,0.0000000000,0.0000000000,0.1667428762,0.1093765646,0.1096568108,0.0109474873,0.0699122176,0.0744457319,0.0554426610,0.0546285324,0.0000000503,-0.0000095385,-0.0978727639,-0.0091457674,0.0469776578,-0.0213728473,-0.0010038296,0.1191129759,-0.0213175304,-0.0025335732
23:27:25:10.605,61,0.0000000000,0.0000000000,0.2146771252,0.0000000000,0.0527934581,0.1621188968,0.2673944831,0.0000000000,0.0000000000,0.0000000000,0.0967055336,0.0532840416,0.1621468961,0.2674579024,0.0110272765,0.0152515788,0.0000000000,0.0364328958,0.0451391414,0.0161674414,0.0515704826,0.0132074188,0.0000000000,0.0282981209,0.0444361605,0.0000000000,0.0000000000,0.0175284576,0.0168560911,0.0454867333,0.0418357663,0.0327557139,0.0157303941,0.0689608157,0.0435573347,0.0229521282,0.0232548807,0.0408951119,0.0372390375,0.0142738950,0.0141097996,0.0000000000,0.0000000000,0.1671860665,0.1086598858,0.1089380533,0.0109503148,0.0704758912,0.0748781785,0.0557151362,0.0548499003,0.0000000493,0.0003064505,-0.0963810310,-0.0079049831,0.0590580627,-0.0232901592,-0.0013749201,0.1311037987,-0.0232349243,-0.0030380054
23:27:25:11.605,61,0.0000000000,0.0000000000,0.2266286165,0.0000000000,0.0724804923,0.1681372225,0.2821718752,0.0000000000,0.0000000000,0.0000000000,0.1093360260,0.0731415302,0.1681540310,0.2821978927,0.0111258952,0.0150749730,0.0000000000,0.0366606005,0.0454738997,0.0163737927,0.0519195162,0.0131591903,0.0000000000,0.0284829959,0.0443869382,0.0000000000,0.0000000000,0.0175786596,0.0169103798,0.0458405502,0.0422136597,0.0330094472,0.0157469530,0.0693393573,0.0437852405,0.0230387915,0.0233334005,0.0413043946,0.0376084857,0.0143916355,0.0142052053,0.0000000000,0.0000000000,0.1678229272,0.1086211950,0.1088964790,0.0109713925,0.0712605491,0.0754387006,0.0560751446,0.0551697761,0.0000000465,0.0002844453,-0.0959626362,-0.0070835138,0.0667555109,-0.0319852717,-0.0021343324,0.1383698881,-0.0319308750,-0.0044056550
23:27:25:12.604,61,0.0000000000,0.0000000000,0.2101072818,0.0000000000,0.0568881743,0.1699524671,0.2777248621,0.0000000000,0.0000000000,0.0000000000,0.0921617150,0.0573949516,0.1699645370,0.2777352929,0.0110955322,0.0149404295,0.0000000000,0.0365643315,0.0453728363,0.0163012613,0.0518118925,0.0131351119,0.0000000000,0.0286264587,0.0444299467,0.0000000000,0.0000000000,0.0175013151,0.0168406591,0.0456818938,0.0420856737,0.0329334959,0.0156680830,0.0693869740,0.0439045876,0.0230018590,0.0233022571,0.0412148684,0.0375179946,0.0144139202,0.0142189171,0.0000000000,0.0000000000,0.1487090737,0.0879077092,0.0880771503,0.0108931633,0.0714280680,0.0754802674,0.0561845638,0.0552845672,0.0000000056,-0.0000703790,-0.0945708081,-0.0062313504,0.0562807135,-0.0250829943,-0.0014112388,0.1283074617,-0.0250279196,-0.0032031233
23:27:25:13.604,61,0.0000000000,0.0000000000,0.1889755577,0.0000000000,0.0505273566,0.1674163193,0.2765604556,0.0000000000,0.0000000000,0.0000000000,0.0708405972,0.0509446487,0.1674233526,0.2765633166,0.0110324118,0.0148566058,0.0000000000,0.0364187285,0.0452372245,0.0162705258,0.0517758355,0.0130414153,0.0000000000,0.0295736771,0.0467648432,0.0000000000,0.0000000000,0.0174504630,0.0168026984,0.0455586314,0.0419985764,0.0328367203,0.0155590568,0.0696500242,0.0441942774,0.0230248682,0.0233313441,0.0410738662,0.0373998992,0.0145156803,0.0143172164,0.0000000000,0.0000000000,0.1433558613,0.0821472779,0.0822879001,0.0108312489,0.0716635659,0.0756781623,0.0565464571,0.0556663647,0.0000000205,0.0014589671,-0.0921103805,-0.0054174345,0.0432633720,-0.0222496204,-0.0009624517,0.1154104322,-0.0221943855,-0.0025561952
23:27:25:14.604,61,0.0000000000,0.0000000000,0.1733273417,0.0000000000,0.0458374731,0.1668077409,0.2755281329,0.0000000000,0.0000000000,0.0000000000,0.0546029359,0.0461972021,0.1668128073,0.2755297720,0.0110105108,0.0147743998,0.0000000000,0.0363374911,0.0451596305,0.0162321273,0.0516947955,0.0129955811,0.0000000000,0.0297141094,0.0471246913,0.0000000000,0.0000000000,0.0173879880,0.0167482421,0.0454606526,0.0419188924,0.0327734500,0.0154888416,0.0697453693,0.0443271734,0.0230166353,0.0233269837,0.0409888662,0.0373273678,0.0145666543,0.0143619841,0.0000000000,0.0000000000,0.1408818215,0.0795043036,0.0796371251,0.0107743526,0.0718429908,0.0757980794,0.0567992888,0.0559079163,0.0000000215,0.0037219292,-0.0877875462,-0.0039645005,0.0333482623,-0.0201685466,-0.0006725524,0.1058584005,-0.0201129690,-0.0021254362
23:27:25:15.604,61,0.0000000000,0.0000000000,0.1636793315,0.0000000000,0.0509651974,0.1664152145,0.2745153010,0.0000000000,0.0000000000,0.0000000000,0.0446437225,0.0513290875,0.1664200723,0.2745216489,0.0109811695,0.0147083951,0.0000000000,0.0362882949,0.0450996608,0.0162514783,0.0517139025,0.0128516583,0.0000000000,0.0294292793,0.0469892435,0.0000000000,0.0000000000,0.0173096936,0.0166803245,0.0453312509,0.0418208502,0.0326732583,0.0154601578,0.0696969628,0.0443213433,0.0230073947,0.0233211908,0.0408012755,0.0371702872,0.0145508014,0.0143516865,0.0000000000,0.0000000000,0.1397209764,0.0780628994,0.0781937242,0.0107765235,0.0718641728,0.0758332089,0.0568139069,0.0559198670,0.0000000239,0.0035954434,-0.0861885324,-0.0030259232,0.0272644572,-0.0224048626,-0.0006108830,0.0999612287,-0.0223493464,-0.0022307171
23:27:25:16.603,61,0.0000000000,0.0000000000,0.1528514773,0.0000000000,0.0517705940,0.1657247543,0.2727150917,0.0000000000,0.0000000000,0.0000000000,0.0337635390,0.0521130785,0.1657329947,0.2727289200,0.0109368656,0.0147693474,0.0000000000,0.0361590758,0.0449429192,0.0162545498,0.0516343638,0.0128083043,0.0000000000,0.0292823557,0.0468762107,0.0000000000,0.0000000000,0.0172591060,0.0166391227,0.0452170447,0.0417109877,0.0325664915,0.0154156024,0.0697201639,0.0443729088,0.0230255593,0.0233383533,0.0406091884,0.0369975641,0.0145386513,0.0143421367,0.0000000000,0.0000000000,0.1395359635,0.0813613907,0.0815299004,0.0107804900,0.0717640892,0.0757736415,0.0568065345,0.0559354834,0.0000000271,0.0038064823,-0.0870818496,-0.0026977637,0.0206196420,-0.0227434542,-0.0004690095,0.0933477804,-0.0226879772,-0.0021151574
23:27:25:17.602,61,0.0000000000,0.0000000000,0.1646847874,0.0000000000,0.0525866784,0.1655961424,0.2718418539,0.0000000000,0.0000000000,0.0000000000,0.0457511097,0.0529601574,0.1656059772,0.2718603313,0.0108990371,0.0148197906,0.0000000000,0.0359904654,0.0447480008,0.0162506793,0.0515727550,0.0128189297,0.0000000000,0.0294528976,0.0468798317,0.0000000000,0.0000000000,0.0172263701,0.0166148692,0.0451308936,0.0416365303,0.0324789844,0.0153526971,0.0698649362,0.0445152074,0.0230716597,0.0233757235,0.0404407866,0.0368407741,0.0145511823,0.0143484110,0.0000000000,0.0000000000,0.1395318806,0.0819273591,0.0821136981,0.0107822148,0.0718285292,0.0758305937,0.0568354093,0.0559661947,0.0000000140,0.0034238442,-0.0880842954,-0.0030355153,0.0279403012,-0.0231172498,-0.0006459339,0.1005736440,-0.0230618212,-0.0023159098
23:27:25:18.602,61,0.0000000000,0.0000000000,0.1603465676,0.0000000000,0.0466520861,0.1654488742,0.2691029012,0.0000000000,0.0000000000,0.0000000000,0.0412647799,0.0469893441,0.1654611081,0.2691551745,0.0108822118,0.0149456458,0.0000000000,0.0359237567,0.0446644053,0.0162703581,0.0516637750,0.0128785204,0.0000000000,0.0295314714,0.0467607789,0.0000000000,0.0000000000,0.0172309633,0.0166231040,0.0451065265,0.0416120738,0.0324664749,0.0153340725,0.0700209290,0.0446175002,0.0231239684,0.0234175399,0.0403582565,0.0367604680,0.0145596229,0.0143544618,0.0000000000,0.0000000000,0.1420496106,0.0826665759,0.0828661472,0.0107907131,0.0718733519,0.0758641586,0.0568087101,0.0559436977,0.0000000242,0.0016554950,-0.0916022956,-0.0045823562,0.0252019186,-0.0205094758,-0.0005168960,0.0979298055,-0.0204538237,-0.0020001151
